M&A Deal Number ,Target Name ,Acquiror Name ,Announcement Date ,Effective Date ,Deal Status ,Deal Value ,Acquiror Nation ,
1191561040,Tay Homes PLC,Country & Metropolitan Group,07/06/2001,16/07/2011,Completed,2.09,United Kingdom,
1395375040,Knowledge Support Systems Ltd,Eurovestech PLC,16/05/2003,01/01/2011,Completed,1.62,United Kingdom,
1404946040,Transbeynak,Exel PLC,16/06/2003,20/06/2013,Completed,,United Kingdom,
1428616040,Aviva Life Insurance Co India Ltd,Aviva PLC,28/08/2003,03/05/2016,Completed,141.7,United Kingdom,
1435423040,Banco Losango SA,HSBC,01/10/2003,08/10/2011,Completed,,United Kingdom,
2272813040,Hutchison Essar Ltd,Vodafone Group Plc,11/02/2007,01/07/2011,Completed,"3,320.00",United Kingdom,
1927123040,Chelverton Growth Trust PLC,Chelverton Growth Trust PLC,23/11/2007,03/03/2016,Completed,,United Kingdom,
2294802040,"Vega Grande,Mendoza Province",Andes Energia PLC,27/11/2007,01/04/2011,Completed,4.36,United Kingdom,
1950694040,Industrias Licoreras de Guatemala SA-Zacapa Rum Brand,Diageo PLC,07/02/2008,31/07/2011,Completed,100.36,United Kingdom,
1967807040,Toolstation Ltd,Travis Perkins PLC,07/04/2008,03/01/2012,Completed,37.55,United Kingdom,
1972270040,Musa Motors,Inchcape PLC,24/04/2008,30/06/2011,Completed,32.18,United Kingdom,
2208850020,MuCell Extrusion LLC,Zotefoams PLC,08/07/2008,31/03/2011,Completed,7.5,United Kingdom,
2442537040,MediradiX Ou,Empresaria Group PLC,18/07/2008,15/08/2012,Completed,,United Kingdom,
2352736040,Shubarkol Komir JSC,Eurasian Natural Resources,16/02/2009,17/04/2012,Completed,650,United Kingdom,
2097829040,JJB Sports PLC-Stores(20),Sports Direct Intl PLC,07/08/2009,01/10/2012,Completed,38.74,United Kingdom,
2134064040,Kansai Mining Corp,Red Rock Resources PLC,03/12/2009,01/02/2012,Completed,0.34,United Kingdom,
2161624040,Antrim Causeway(NI)Ltd,Valiant Petroleum PLC,04/03/2010,09/08/2011,Completed,,United Kingdom,
2163361020,"Devon Energy Corp-Oil Assets, Brazil, Azerbaijan and Gulf of Mexico",BP PLC,11/03/2010,10/05/2011,Completed,"7,000.00",United Kingdom,
2170543040,Hess Corp-North Sea gas assets,Scottish & Southern Energy PLC,01/04/2010,02/02/2011,Completed,423,United Kingdom,
2179472040,Bjerke & Luther AS,Harvey Nash Group PLC,29/04/2010,30/04/2013,Completed,1.95,United Kingdom,
2161980040,VAO Inturist PAO,Thomas Cook Group PLC,25/05/2010,14/07/2011,Completed,,United Kingdom,
2194030040,"Undisclosed Tour Operator,Russian Federation",Thomas Cook Group PLC,17/06/2010,12/07/2011,Completed,,United Kingdom,
2194006040,Subsea 7 Inc,Acergy MS Ltd,21/06/2010,07/01/2011,Completed,"2,496.02",United Kingdom,
2197700040,Tasman Oil Tools Pty Ltd,Northbridge Industrial Svcs,30/06/2010,23/09/2014,Completed,14.2,United Kingdom,
2203167040,GDF Suez Energy Services International SA,International Power PLC,19/07/2010,03/02/2011,Completed,"25,056.26",United Kingdom,
2205364040,Teck Resources Ltd-Araguaia nickel project Brazil,Horizonte Minerals PLC,23/07/2010,04/02/2011,Completed,,United Kingdom,
2209595040,Orogen Gold Ltd,MeDaVinci PLC,09/08/2010,04/03/2012,Completed,,United Kingdom,
2209861020,Harrison Group Inc,YouGov PLC,10/08/2010,31/07/2011,Completed,13,United Kingdom,
2210338040,Nestor Healthcare Group PLC,Saga Group Ltd,11/08/2010,01/02/2011,Completed,179.29,United Kingdom,
2327843040,Cairn India Ltd,Vedanta Resources PLC,12/08/2010,08/12/2011,Completed,"4,541.90",United Kingdom,
2210760040,Cairn India Ltd,Vedanta Resources PLC,12/08/2010,12/07/2011,Completed,"1,513.20",United Kingdom,
2223711020,Alberto-Culver Co,Unilever PLC,27/09/2010,10/05/2011,Completed,"3,842.39",United Kingdom,
2226378040,Laser-Scan Holdings PLC,IQ Holdings PLC,01/10/2010,18/10/2011,Completed,,United Kingdom,
2226462040,GCAN Insurance Co,RSA Insurance Group PLC,04/10/2010,10/01/2011,Completed,410.6,United Kingdom,
2229118040,"Congleton Retail Park,Congleton",Metric Property Investments,12/10/2010,03/02/2011,Completed,23.48,United Kingdom,
2268852040,iseemedia inc,Synchronica PLC,14/10/2010,07/01/2011,Completed,1.26,United Kingdom,
2233427040,Blane Oil Field,Faroe Petroleum PLC,26/10/2010,19/05/2011,Completed,95.07,United Kingdom,
2234715020,Baxter Healthcare Corp-Multi- Source Injectables Business,Hikma Pharmaceuticals PLC,29/10/2010,03/05/2011,Completed,112,United Kingdom,
2189081040,Sophis Technology,Misys PLC,12/11/2010,28/02/2011,Completed,602.58,United Kingdom,
2239632040,Berau Coal Energy Tbk PT,Vallar PLC,16/11/2010,08/04/2011,Completed,807.95,United Kingdom,
2239630040,Berau Coal Energy Tbk PT,Vallar PLC,16/11/2010,14/06/2011,Completed,214.75,United Kingdom,
2229144040,Berau Coal Energy Tbk PT,Vallar PLC,16/11/2010,08/04/2011,Completed,739,United Kingdom,
1839936040,PT Bumi Resources Tbk,Vallar PLC,16/11/2010,04/03/2011,Completed,"1,912.80",United Kingdom,
2240418020,HelloSoft Inc,Imagination Tech Grp PLC,17/11/2010,04/02/2011,Completed,47.1,United Kingdom,
2241123040,Biocompatibles International PLC,BTG PLC,19/11/2010,27/01/2011,Completed,283.04,United Kingdom,
2241921040,CTI Education Group,Pearson PLC,22/11/2010,29/07/2011,Completed,49.46,United Kingdom,
2242864040,Trafford Centre Ltd,Capital Shopping Centres Grp,24/11/2010,28/01/2011,Completed,"2,523.69",United Kingdom,
2243148040,"VAO ""Inturist""-Tour Operating & Retail Business",Thomas Cook Group PLC,25/11/2010,12/07/2011,Completed,45,United Kingdom,
2243800040,Viz Risk Management Services AS,Brady PLC,29/11/2010,04/01/2011,Completed,15.03,United Kingdom,
2243694040,stratsec.net Pty Ltd,BAE Systems PLC,29/11/2010,18/01/2011,Completed,23.09,United Kingdom,
2122214040,Bahamas Telecommunications Co Ltd,Cable & Wireless Commun PLC,02/12/2010,07/04/2011,Completed,210,United Kingdom,
2246022040,Riversdale Mining Ltd,Rio Tinto PLC,06/12/2010,29/04/2011,Completed,"3,908.48",United Kingdom,
2247577040,Nanjing MeiRui Pharma Co Ltd,GlaxoSmithKline PLC,07/12/2010,19/01/2011,Completed,70,United Kingdom,
2246651040,Focus Solutions Group PLC,Standard Life PLC,07/12/2010,11/01/2011,Completed,66.08,United Kingdom,
2249372040,OneMed Group Oy,3i Group PLC,10/12/2010,04/03/2011,Completed,,United Kingdom,
2248413040,AH Medical Properties PLC,Assura Group Ltd,10/12/2010,18/02/2011,Completed,45.16,United Kingdom,
