Date,Target Name,Target Industry Sector,"Target
Nation",Acquiror Name,Acquiror Industry Sector,"Acquiror
Nation","%
of
Shares
Acq.","%
Owned
After
Trans-
action","Value
of
Transaction
($mil)","Acquiror
Ticker
Symbol","Target
Ticker
Symbol","Acquiror
Datastream
Code","Target
Datastream
Code"
01.01.00,Beltpacker PLC,"Soaps, Cosmetics, and Personal-Care Products",United Kingdom,3i Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,30.40,30.4,,III,,960338,
01.01.00,Intellex SRL,Prepackaged Software,Italy,3i Group PLC,"Investment & Commodity Firms,Dealers,Exchanges",United Kingdom,100.00,100.0,,III,,960338,
01.01.00,Premier Womenswear,Amusement and Recreation Services,United Kingdom,Emap PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,EMA,,910283,
01.01.00,Supergrif Kitchen And Bath,"Stone, Clay, Glass, and Concrete Products",Spain,Delta PLC,Metal and Metal Products,United Kingdom,100.00,100.0,,DLTA,,901150,
01.01.00,Tranman Solutions Ltd,Prepackaged Software,United Kingdom,Lex Service PLC,Miscellaneous Retail Trade,United Kingdom,50.00,50.0,1.503,LEXL,,900959,
01.01.00,Way Ahead Group Ltd,Miscellaneous Retail Trade,United Kingdom,Telewest Communications PLC,Radio and Television Broadcasting Stations,United Kingdom,100.00,100.0,14.558,"TWSTY
TWT",,135090,
03.01.00,TW Packaging Twente BV,Rubber and Miscellaneous Plastic Products,Netherlands,RPC Group PLC,Rubber and Miscellaneous Plastic Products,United Kingdom,100.00,100.0,9.064,RPC,,319712,
04.01.00,ATC Group,Transportation and Shipping (except air),United States,National Express Group PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,174.18,NEX,,301917,
04.01.00,GMTV Ltd,Radio and Television Broadcasting Stations,United Kingdom,Scottish Media Group PLC,Radio and Television Broadcasting Stations,United Kingdom,5.00,25.0,9.977,STVA,,902402,
04.01.00,GMTV Ltd,Radio and Television Broadcasting Stations,United Kingdom,Granada Group PLC,Business Services,United Kingdom,5.00,25.0,,GAA,,931524,
04.01.00,GMTV Ltd,Radio and Television Broadcasting Stations,United Kingdom,Carlton Communications PLC,Motion Picture Production and Distribution,United Kingdom,5.00,25.0,,"CCM
CCTVY",,312273,
04.01.00,Geotours,Transportation and Shipping (except air),Norway,ebookers.com PLC,Transportation and Shipping (except air),United Kingdom,100.00,100.0,.999,"EB6
EBKR
EBR",,255522,
04.01.00,Ind de Papel de Salto Ltda,Paper and Allied Products,Brazil,Arjo Wiggins Appleton PLC,Paper and Allied Products,United Kingdom,51.00,100.0,22.701,AWA,,914563,
02.07.01,William Lusty(Hamsard 2095),Food and Kindred Products,United Kingdom,Inter Link Foods PLC,Food and Kindred Products,United Kingdom,100.00,100.0,.654,ITF,,686655,
04.01.00,Paperflow Ltd,Business Services,Jersey,XKO Group PLC,Business Services,United Kingdom,100.00,100.0,1.425,XKO,,135177,
04.01.00,Studsvik Polymer AB,Business Services,Sweden,Bodycote International PLC,Miscellaneous Services,United Kingdom,100.00,100.0,2.839,BOY,,910119,
05.01.00,LHR Education Ltd,Business Services,United Kingdom,The Capita Group PLC,Business Services,United Kingdom,100.00,100.0,19.626,CPI,,953830,
05.01.00,Panafon-Benchmarking Software,Prepackaged Software,Greece,Vodafone AirTouch PLC,Telecommunications,United Kingdom,100.00,100.0,,VOD,,953133,
05.01.00,Wards-Ford Dealerships,Miscellaneous Retail Trade,United Kingdom,Ryland Group PLC,Miscellaneous Retail Trade,United Kingdom,100.00,100.0,9.60,RYG,,940701,
06.01.00,Autobytel.Europe,Miscellaneous Retail Trade,United Kingdom,Inchcape PLC,Miscellaneous Retail Trade,United Kingdom,7.30,7.3,10.012,INCH,,901029,
06.01.00,Centurycom Ltd,Business Services,United Kingdom,Diagonal PLC,Business Services,United Kingdom,100.00,100.0,13.169,DIA,,888525,
07.01.00,Dennis Publishing-Magazines(4),"Printing, Publishing, and Allied Services",United Kingdom,Future Network PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,FNET,,698883,
07.01.00,Fleet Walk Shopping Centre,Real Estate; Mortgage Bankers and Brokers,United Kingdom,Bourne End Properties PLC,Real Estate; Mortgage Bankers and Brokers,United Kingdom,100.00,100.0,24.732,BEPL,,905958,
07.01.00,Hypnosis Media Ltd,Business Services,United Kingdom,MMT Computing PLC,Business Services,United Kingdom,100.00,100.0,4.095,MMTL,,282353,
10.01.00,James Clifford & Son Ltd,Wholesale Trade-Durable Goods,United Kingdom,Headlam Group PLC,Wholesale Trade-Durable Goods,United Kingdom,100.00,100.0,2.209,HEAD,,910395,
07.01.00,IT Utility,Business Services,United States,TGI PLC,Electronic and Electrical Equipment,United Kingdom,33.00,33.0,2.30,TGI,,943413,
17.03.00,Univak PLC,Metal and Metal Products,United Kingdom,Ferraris Group PLC,"Measuring, Medical, Photo Equipment; Clocks",United Kingdom,100.00,100.0,9.366,SFTL,RHDL,917130,671961
08.01.00,Premier Childrenswear,Amusement and Recreation Services,United Kingdom,Emap PLC,"Printing, Publishing, and Allied Services",United Kingdom,100.00,100.0,,EMA,,910283,
10.01.00,Actionair,Machinery,United Kingdom,Tomkins PLC,Machinery,United Kingdom,100.00,100.0,,"TKS
TOMK",,911258,
10.01.00,Air Diffusion Ltd(Vector Inds),Machinery,United Kingdom,Tomkins PLC,Machinery,United Kingdom,100.00,100.0,,"TKS
TOMK",,911258,
