observation_date,EXUSUK,Interest_Rate,SMI
2000-01-01,1.6404,5.75,1335.808
2000-02-01,1.6000,6,1201.506
2000-03-01,1.5799,6,1188.53
2000-04-01,1.5823,6,1232.977
2000-05-01,1.5090,6,1181.588
2000-06-01,1.5092,6,1164.447
2000-07-01,1.5076,6,1183.871
2000-08-01,1.4889,6,1163.593
2000-09-01,1.4336,6,1196.749
2000-10-01,1.4506,6,1128.246
2000-11-01,1.4258,6,1144.69
2000-12-01,1.4629,6,1091.228
2001-01-01,1.4775,6,1146.254
2001-02-01,1.4525,5.75,1133.588
2001-03-01,1.4445,5.75,1057.539
2001-04-01,1.4348,5.5,992.857
2001-05-01,1.4265,5.25,1052.759
2001-06-01,1.4020,5.25,1019.062
2001-07-01,1.4148,5.25,1004.195
2001-08-01,1.4372,5,992.362
2001-09-01,1.4638,4.75,966.575
2001-10-01,1.4501,4.5,889.31
2001-11-01,1.4356,4,932.207
2001-12-01,1.4413,4,928.681
2002-01-01,1.4322,4,962.025
2002-02-01,1.4227,4,924.759
2002-03-01,1.4230,4,927.846
2002-04-01,1.4429,4,959.587
2002-05-01,1.4598,4,946.755
2002-06-01,1.4837,4,932.791
2002-07-01,1.5565,4,900.968
2002-08-01,1.5368,4,789.454
2002-09-01,1.5563,4,811.348
2002-10-01,1.5575,4,744.086
2002-11-01,1.5711,4,779.101
2002-12-01,1.5863,4,806.292
2003-01-01,1.6175,4,791.076
2003-02-01,1.6079,3.75,756.252
2003-03-01,1.5825,3.75,727.391
2003-04-01,1.5739,3.75,723.365
2003-05-01,1.6224,3.75,781.486
2003-06-01,1.6609,3.75,844.176
2003-07-01,1.6221,3.5,827.834
2003-08-01,1.5939,3.5,828.65
2003-09-01,1.6155,3.5,831.46
2003-10-01,1.6792,3.5,874.57
2003-11-01,1.6897,3.75,913.955
2003-12-01,1.7516,3.75,951.581
2004-01-01,1.8255,3.75,1006.081
2004-02-01,1.8673,4,1000.909
2004-03-01,1.8261,4,1063.416
2004-04-01,1.8031,4,1028.914
2004-05-01,1.7860,4.25,1004.06
2004-06-01,1.8279,4.5,1022.059
2004-07-01,1.8438,4.5,1012.633
2004-08-01,1.8203,4.75,1013.818
2004-09-01,1.7937,4.75,1013.444
2004-10-01,1.8077,4.75,1049.978
2004-11-01,1.8607,4.75,1074.362
2004-12-01,1.9286,4.75,1144.242
2005-01-01,1.8797,4.75,1152.302
2005-02-01,1.8871,4.75,1162.648
2005-03-01,1.9043,4.75,1208.665
2005-04-01,1.8961,4.75,1168.51
2005-05-01,1.8559,4.75,1139.816
2005-06-01,1.8177,4.75,1141.736
2005-07-01,1.7507,4.75,1147.447
2005-08-01,1.7944,4.5,1172.568
2005-09-01,1.8064,4.5,1218.45
2005-10-01,1.7651,4.5,1205.37
2005-11-01,1.7349,4.5,1172.863
2005-12-01,1.7458,4.5,1185.967
2006-01-01,1.7686,4.5,1205.642
2006-02-01,1.7480,4.5,1287.955
2006-03-01,1.7442,4.5,1276.416
2006-04-01,1.7680,4.5,1304.535
2006-05-01,1.8687,4.5,1375.75
2006-06-01,1.8435,4.5,1337.035
2006-07-01,1.8443,4.5,1350.561
2006-08-01,1.8941,4.75,1362.9
2006-09-01,1.8839,4.75,1407.422
2006-10-01,1.8765,4.75,1399.261
2006-11-01,1.9125,5,1459.417
2006-12-01,1.9629,5,1488.447
2007-01-01,1.9587,5.25,1521.541
2007-02-01,1.9589,5.25,1548.388
2007-03-01,1.9474,5.25,1497.181
2007-04-01,1.9879,5.25,1566.605
2007-05-01,1.9842,5.5,1608.182
2007-06-01,1.9867,5.5,1651.574
2007-07-01,2.0355,5.75,1656.003
2007-08-01,2.0110,5.75,1582.745
2007-09-01,2.0184,5.75,1590.817
2007-10-01,2.0449,5.75,1657.298
2007-11-01,2.0701,5.75,1707.158
2007-12-01,2.0161,5.5,1635.283
2008-01-01,1.9702,5.5,1593.358
2008-02-01,1.9646,5.25,1473.243
2008-03-01,2.0015,5.25,1430.654
2008-04-01,1.9816,5,1436.161
2008-05-01,1.9650,5,1488.371
2008-06-01,1.9664,5,1457.361
2008-07-01,1.9888,5,1346.314
2008-08-01,1.8865,5,1304.933
2008-09-01,1.7973,5,1247.308
2008-10-01,1.6862,4.5,1086.219
2008-11-01,1.5327,3,870.754
2008-12-01,1.4854,2,744.937
2009-01-01,1.4462,1.5,787.715
2009-02-01,1.4422,1,712.421
2009-03-01,1.4170,0.5,625.157
2009-04-01,1.4712,0.5,701.947
2009-05-01,1.5418,0.5,780.692
2009-06-01,1.6369,0.5,916.618
2009-07-01,1.6378,0.5,886.234
2009-08-01,1.6532,0.5,981.556
2009-09-01,1.6323,0.5,970.051
2009-10-01,1.6212,0.5,1001.295
2009-11-01,1.6599,0.5,1036.193
2009-12-01,1.6226,0.5,1093.639
2010-01-01,1.6158,0.5,1081.86
2010-02-01,1.5618,0.5,1033.028
2010-03-01,1.5058,0.5,998.962
2010-04-01,1.5332,0.5,1084.627
2010-05-01,1.4669,0.5,1044.733
2010-06-01,1.4768,0.5,937.558
2010-07-01,1.5304,0.5,896.951
2010-08-01,1.5661,0.5,1059.425
2010-09-01,1.5591,0.5,1024.467
2010-10-01,1.5867,0.5,1091.206
2010-11-01,1.5961,0.5,1127.64
2010-12-01,1.5595,0.5,1082.738
2011-01-01,1.5782,0.5,1123.919
2011-02-01,1.6124,0.5,1187.918
2011-03-01,1.6159,0.5,1196.035
2011-04-01,1.6379,0.5,1189.426
2011-05-01,1.6332,0.5,1251.019
2011-06-01,1.6219,0.5,1200.292
2011-07-01,1.6158,0.5,1186.1
2011-08-01,1.6356,0.5,1158.406
2011-09-01,1.5771,0.5,1081.106
2011-10-01,1.5768,0.5,970.762
2011-11-01,1.5806,0.5,1067.715
2011-12-01,1.5587,0.5,1061.641
2012-01-01,1.5524,0.5,1068.187
2012-02-01,1.5804,0.5,1131.573
2012-03-01,1.5824,0.5,1166.65
2012-04-01,1.6000,0.5,1160.722
2012-05-01,1.5924,0.5,1162.179
2012-06-01,1.5556,0.5,996.264
2012-07-01,1.5593,0.5,1093.302
2012-08-01,1.5722,0.5,1100.691
2012-09-01,1.6126,0.5,1129.877
2012-10-01,1.6080,0.5,1159.97
2012-11-01,1.5968,0.5,1167.219
2012-12-01,1.6145,0.5,1166.484
2013-01-01,1.5965,0.5,1183.478
2013-02-01,1.5474,0.5,1233.534
2013-03-01,1.5080,0.5,1182.172
2013-04-01,1.5311,0.5,1204.219
2013-05-01,1.5297,0.5,1236.558
2013-06-01,1.5493,0.5,1229.372
2013-07-01,1.5179,0.5,1183.078
2013-08-01,1.5505,0.5,1248.443
2013-09-01,1.5885,0.5,1248.116
2013-10-01,1.6098,0.5,1289.158
2013-11-01,1.6100,0.5,1320.52
2013-12-01,1.6383,0.5,1327.655
2014-01-01,1.6470,0.5,1375.35
2014-02-01,1.6558,0.5,1297.926
2014-03-01,1.6624,0.5,1377.677
2014-04-01,1.6748,0.5,1358.21
2014-05-01,1.6842,0.5,1412.787
2014-06-01,1.6908,0.5,1414.266
2014-07-01,1.7066,0.5,1432.68
2014-08-01,1.6700,0.5,1383.687
2014-09-01,1.6290,0.5,1395.267
2014-10-01,1.6074,0.5,1305.217
2014-11-01,1.5771,0.5,1272.647
2014-12-01,1.5644,0.5,1282.95
2015-01-01,1.5142,0.5,1255.145
2015-02-01,1.5329,0.5,1248.56
2015-03-01,1.4958,0.5,1305.203
2015-04-01,1.4968,0.5,1234.305
2015-05-01,1.5456,0.5,1298.37
2015-06-01,1.5576,0.5,1293.1
2015-07-01,1.5560,0.5,1262.554
